description,review_majority,food_aspect_majority,ambiance_aspect_majority,service_aspect_majority,noise_aspect_majority,cleanliness,price,location,menu variety,waiting time,waiting area,parking,wi-fi,kids-friendly
"waiter was rushed! service staff was very rushed!food was very good ,I would not go for Brunch I will try for dinner.",3,Positive,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"The times I've went to Lazy Goat, they've never let me down. Foods good, atmosphere good, service is good, prices are good. All around a good place to go in downtown greenville.",no majority,Positive,Positive,Positive,unknown,unknown,Positive,Positive,Positive,unknown,unknown,unknown,unknown,unknown
"This was my fourth visit to Aurora, and the food was not as good as prior visits. The room was always pleasant however. Don't understand why it's not packed every night.",3,Negative,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Nothing was very good, nothing would make me go back. I had the chicken marsala.",1,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Service was nothing to be desired. Food was okay but priced too high for what you got. It was crowded but a really fun atmosphere.,3,Negative,Positive,Negative,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Not worth the money, food was great, but prices were exhorbitant. It's like a fine dining",no majority,Positive,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
The food here was horrible and the service was terrible.,1,Negative,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"I had chicken cacciatore. The broccoli was cooked to perfection. The chicken, was amazing. This is not a restaurant I would go out of my way to go to.",4,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
This was my second time at Corduroy and each time I was not impressed. The food was just fair - nothing memorable. It was quiet and intimate though.,3,Negative,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Food ws good, the meat and fish portions were good the rest was poor as to the servings. The appetizer was a joke and so was the waitstaff.",3,Positive,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Although the $12.95 price of the Saturday buffet lunch was a real value, nothing was sufficiently tasty to make me want to return. Plus the waiter made a rude comment to my mother.",2,Negative,unknown,Negative,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Be alert with valet service - its slow and they misplace keys/car, but the food was delicious.",3,Positive,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Well-rounded menu, with an excellent wine list.",4,Positive,unknown,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
The food is okay. Delicious bread and appetizers but not impressed by the entrees.,3,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Terrible food. Pizza and salads are very bad.,1,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Oversalted food, undercooked pasta (more than al dente). Will not be back again.",1,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Mediocre at best. Way too much oil on food.,2,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Great experience where the food and atmosphere all made for a romantic dinner!,5,Positive,Positive,unknown,unknown,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
Food was good. Prices were reasonable and portions were good. Staff was very accommodating and friendly.,4,Positive,unknown,Positive,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Very expensive. Food just regular . Good wine list but too much expensive.
Dress code business casual ? There were men with t-shirt and tennis shoe .
I'll never came back.",no majority,Negative,Negative,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"With a delicious southern inspired menu and a charming space, this place gets noisy during a busy lunch hour. Tipsy Parson is a not-to-miss brunch spot. Be sure to try the sticky buns!",4,Positive,Positive,unknown,Negative,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
"This place never disappoints. Authentic Sardinian cuisine, incredible flavors and tastes. Attentive staff and a husband and wife - chef and hostess team. You are always welcome and leave full. The dining room is very univiting though.",no majority,Positive,Negative,Positive,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
"Small Tables, huge pizzas. It is very uncomfortable to eat. They think they are doing something great but trying to squeeze in a tiny place to scramble to eat is more painful than fun but the food is good.",3,Positive,Negative,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown
"Very noisy, difficult to converse. Overly robust sauces make the dish. Would not recommend and likely will not return.",1,Negative,Negative,unknown,Negative,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown
"The food was very good, but unfortunately our service was so bad that it ruined the experience for us.",2,Positive,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"The place has gone down hill. Tables are way too crowded, portions very small for the price and the food was not cooked well.",no majority,Negative,unknown,unknown,unknown,unknown,Negative,Negative,unknown,unknown,unknown,unknown,unknown,unknown
"Reservations at 7pm. Dinner served at 8pm. Food was so-so. 
Children's Dessert offered but not served, so we cancelled it at 8:30. Would not dine here again.",2,Negative,Negative,unknown,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown
couldn't be a bigger fan of chef dom. great night. our waiter was amazing!,5,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"the service was very good. The location was ok, but it was very cold.  However, I felt the crepe was over-cooked and had much too much cheese in it. The crepe choice were not very interesting....and nothing else appealed to me either.",2,Negative,Negative,Positive,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown
The food and ambiance at his place is consistently amazing - as soon as we finish we start thinking about when we can come back!,5,Positive,Positive,unknown,unknown,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
"My family and friends love sitting at the ""reserved for"" tables which makes us feel really connected to the music world but the music was too loud.",4,unknown,Positive,unknown,Negative,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown
"Wonderful food, great atmosphere, careless wait staff",no majority,Positive,Positive,Negative,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
Hands down - the best restaurant and experience I've ever had dining. Wonderfully quiet,5,Positive,Positive,Positive,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"For many years it was one of my favorites; however, the prices have doubled and I will not be returning soon even if the food remains good as always.",3,Positive,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Service was excellent, not very good food, friendly people. Thanks opentable for pointing out this gem!!!",3,Negative,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Very pretty restaurant. Staff nice,competent....except for bartender, who made lousy drinks and had an attitude about it. Food fair. Fish fair. Pasta sauce overpowering. Meat tough and too fatty",3,Negative,Positive,Positive,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
Tables too close together. Service was in a rush to get you out of there. Food was good.,3,Positive,Negative,Negative,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown
We had a lovely lunch. It was a gathering of five women who stayed for an extended time.,5,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"We've been there several times, and this time was disappointing. Food was as good as previously, and the service was terrible. The restaurant was half empty, so there was no excuse.",no majority,Positive,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Nice views, and food was great. Neighborhood Italian quality, but with more passion. Bring for your tourist friends.",5,Positive,Positive,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
"As always, we had a great time. Martini's were excellent! Food was delicious! Service was the only negative.",no majority,Positive,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Food was and presentation was not creative. Felt like we were being rushed. It was super loud in there too,2,Negative,Negative,Negative,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
The food was good. The wine list was good. I did not like that they threw the bread on the table wrapped in paper. It was very casual and I expected more from Batali/Bastianich.,3,Positive,Negative,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Wonderful from start to finish...Food and service were exceptional....Setting was perfect but noisy, with gramercy park to glance out at...",4,Positive,Positive,Positive,Negative,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
A tourist trap existing on the reputation of being historic. Food was great. Presentation of mass produced dishes was careless. Food tasted like it was pored straight from a can.,no majority,no majority,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"The food was perfectly fine, but nothing worth planning a special evening or afternoon around. I was underwhelmed.",no majority,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
my immediate reaction going into the below-street-level restaurant was that it was a place office-tryst couples would go! The food was very good,no majority,Positive,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
I was annoyed that they did not offer the regular menu. The steak had a lot of gristle. Overall fairly mediocre. The curry chicken soup didn't really taste like curry.,1,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
We would go back for the service received from the staff. We were having a special dinner out for our daugther and the ambiance extra special.,5,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Went for brunch and basic eggs, home fries, and bacon were terrible. Quiet room. The bacon was soggy not crispy. Go to Jane instead. They are world's apart.",no majority,Negative,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Love your restaurant. For a table of 2 it's fine. (I have a mild hearing loss),4,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
The food was ordinary and disappointing. The desert was fruit and ice cream with unnatural spices that disguised instead of enhanced the main ingredients. Too loud to go back again.,2,Negative,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"We had a great meal and a great time, minus inattentive waiter. We will return.",4,Positive,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Gnocchi was gummy - pasta chewy and not much flavor. Chocolate souffle was very good.,no majority,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"The wine list is decent but over priced, and the tapas style menu choices are good, not great and over priced. Really noisy in the restauraunt, I could barely hear my date talk.",2,Positive,unknown,unknown,Negative,unknown,Negative,unknown,Positive,unknown,unknown,unknown,unknown,unknown
"The worst service argumentative waiter.

Forty minute wait for 1st course. At least the decor was something nice to look at.",2,unknown,Positive,Negative,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown
Neighborhood oldie. My tummy is sometimes happy when it leaves. Not a very cozy place. if you try the mac and cheese with the ham...you'll be disappointed  you did.,3,Negative,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Not too thrilled walking thru the kitchen area to come, leave or use the rest room. Over all it was crowded and noisey.",no majority,unknown,Negative,unknown,Negative,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown
"food was really bad, but the atmosphere was great. Very nice wine selection-prices were decent too.",3,Negative,Positive,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown
We have been here many times and are always impressed by the great food. Everything is worth trying from the amazing appetizers (grilled octopus is the best) to the desserts. Fantastic service!,5,Positive,unknown,Positive,unknown,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
"This Italian restaurant has very little to offer in terms of originality but it's outstanding cuisine. Good for clerical lunchtime meetings, from Monday to Friday, mostly due to its location.",no majority,Positive,unknown,unknown,unknown,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
"old fashioned , arrogant servers. Nothing to do with fine french cuisine (I am French). Remind me of the food at the school cafeteria...",1,Negative,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"I didn't enjoy the fixed price menu, it was all very bland",2,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Better than Antico or Verasano's.,4,unknown,unknown,unknown,unknown,Positive,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
"The Sunday special of lobster, potatoes and corn was a good deal. They could forget about the corn, but as usual the rest of the food was excellent. The ambiance was perfect",4,Positive,Positive,unknown,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown,unknown
"Restaurant not to recommend. The service was inattentive and the recommended white wine too warm. It's a pity, because the location is nice.",2,unknown,Positive,Negative,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
"aside from the gorgeous location, there was (sadly) nothing special about Lafitte except the staff",3,no majority,Positive,Positive,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
good food; and too loud to have a conversation. The waitress could not take a spoken order-I had to yell it to her.,no majority,Positive,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Interesting food, good service, great wine list, but somewhat overpriced",4,Positive,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Basically ragu sauce on pasta. The garlic bread is good, but that's the only thing going for this place. They say they use lots of garlic... lies... At least our waiter was friendly and good.",3,Negative,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Underwhelming. The food is average. The service is terrible. We sat for 15 minutes without wine during our main course. There are many cheaper, better ambiance options in NYC.",1,Negative,Negative,Negative,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown
"Certainly nothing special. Service was good, and food was solid. For example, pasta was fresh, and the use of peas was an inspiring choice.",3,Positive,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Was expecting a special mothers day brunch and it turned out to be so good , loved the overall feel of the place.",5,Negative,Positive,unknown,unknown,Positive,unknown,Positive,Positive,unknown,Positive,unknown,unknown,unknown
This place has lost a lot of its value over the years. Food is staid and not innovative. Service has stayed consistently good at least.,2,Negative,unknown,Positive,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown
Over 35 minutes to get an appetizer.,1,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown
"Food was ok, the space was very tight and dining area way too noisy, service was fast, the italian rum cake was not very italian.",no majority,Positive,Negative,Positive,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Outrageously bad service. It took over 45 minutes for my entre to arrive, and it was just warm, not hot. I complained to the manager; he did NOTHING. I won't go back, ever. The food itself was great, but not worth the hassle.",no majority,Positive,unknown,Negative,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown
"Excellent food, horrible hostess and waitress(es) who didn't compliment the scenic views, it lacked real ambiance and zest for romantics. The ""business casual"" listing on Open Table was grossly over rated.",no majority,Positive,Negative,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Poor service, but the food was excellent! Recommend trying the specials for lunch.",no majority,Positive,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Table wasn't ready for a 9 pm reservations they were out of our first choice on menu and bottle of wine the description of goulash was embellished food.,2,Positive,unknown,Negative,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown
Best Italian restaurant in Atlanta with great service. Simply our favorite overall.,5,Positive,unknown,Positive,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
"New chef, lacking service and needs time to get it right.",no majority,Negative,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"My friend and I had a very small martini type drink before dinner and were charged $12!!
Way overpriced but it was a nice and quiet place.",3,unknown,unknown,unknown,Positive,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"The booth seating was extremely uncomfortable, not enough room between table and seat. An infant was included in our party, not infant friendly.",no majority,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Negative
It was and always has been very wonderful at all meal times.,5,unknown,Negative,unknown,Negative,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,Positive
"I made a reservation for 6pm, but they closed at 5:30. It was noisy though? Must have been a private party or something",3,unknown,unknown,Negative,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
This is some of the best Italian food I've ever had. It even impressed our friends from Italy. Magnifico!,5,Positive,unknown,unknown,unknown,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
complimentary chanpagne was given to us with great service. but other than that it was ok.,3,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Food was Ok but bland. Cream of artichoke soup had no seasoning at all. Salmon BLT had no B.,3,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
They've run out of oysters but they had lobster... need I say more?,no majority,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
Just fine and very noisy. Hadn't been there in awhile and probably won't beat down the door to go again.,3,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Service was satisfactory, but somewhat slow I assume due to full capacity of the restaurant.",3,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Food was fabulous, service was amazing. Will definitely recommend to friends and family.",5,Positive,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Basically, a major disappointment: a 'jetstream' of activity and noise that substitute for gastronomy. Coasting on a name, not delivering quality food or dining experience. Took us over an hour to get our appetizers.",1,Negative,Negative,Negative,Negative,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown
Still need to wait long time (an hour) to get a table even though I made the reservation. When the food came it was under-cooked and a bit raw  Do not recommend to anyone!,1,Negative,unknown,Negative,unknown,unknown,unknown,unknown,unknown,Negative,Negative,unknown,unknown,unknown
"Generally very nice atmosphere, but was beyond crowded, especially with the band playing.",no majority,unknown,Positive,unknown,Negative,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown
"the pasta was good but not good enough to make up for how rediculously loud it was. My party was squeezed at a tiny table and could barely hear ourselves think. Too bad, we otherwise would have loved the atmosphere.",3,Positive,Positive,unknown,Negative,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown
"we appreciated, worked with our tight schedule to make it to the symphony on time.",4,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"The main course came out before we were done with the salads, the meat was not cooked as ordered. Not worth the price.",2,Negative,unknown,Negative,unknown,unknown,Negative,unknown,unknown,Negative,unknown,unknown,unknown,unknown
"We have been there several times before, so we knew we could count on a good meal and good service, but received a slapdash meal and good service.",3,Negative,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Very weird mid-evil themed restaurant but eating underground in an awkward/old atmosphere is probably better suited to older tourists vs. SF locals,no majority,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
empty room at Monday lunch......meal was well portioned and tasty....won't return,3,Positive,unknown,unknown,no majority,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"There was 1 waiter for the entire night! He did a good job, however, and I appreciated the service.",no majority,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Stupendous food worth the cost! We loved every morsel and loved the atmosphere.,5,Positive,unknown,unknown,unknown,unknown,Positive,unknown,Positive,unknown,unknown,unknown,unknown,unknown
the food has become better but i notice the size of the plates have gotten smaller . the prix fix is no longer a bargain . base on the size of the plates /,no majority,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Trading on their reputation, this restaurant focuses way too much on the past to bother serving good food. Skip it.",no majority,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Disappointed; have had good experiences in the past, especially at Kenmore. Felt staff was not interested. Maybe trying to balance three sites is too demanding.",2,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
One of the bestPrix Fixe choices and values we have seen. Service pleasant but slow and the food was interesting.,4,Positive,unknown,no majority,unknown,unknown,Positive,unknown,Positive,unknown,unknown,unknown,unknown,unknown
Nothing special.,2,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Had a 7:30 reservation, wasn't seated till after 8 with no apology. Service was sketchy. No offer of a wine list. Infrequent and late water refills. Main course was quite delicious, though.",3,Positive,unknown,Negative,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown
Two hour meal should have taken half that.,no majority,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown
"Not a restaurant I would reccommend. Overpriced. No , ""wow' ,factor, and bad ambiance. Average at best.",2,unknown,Negative,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Not impressed. The food was fair. The roasted root vegetables were the best item. Service was at least consistent. Noise level far too loud.,3,Negative,Negative,Positive,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Food was so amazing-service was marginal. I would not return.,no majority,Positive,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Inattentive staff, bad service but the Bolognese is to die for !",no majority,Positive,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"We order beverages that never arrived; it was very busy and loud, specialy on the 2nd floor. Really interesting decor.",2,unknown,Positive,Negative,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Food was OK. We were a bit dissapointed. Nothing to write home about, including the ugly decor and lighting",3,Negative,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
We have been here many times. The food is always excellent and the source very good. Noise level is questionable.,4,Positive,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Cafe Tiramisu is a favorite of mine. I haven't been there in awhile but still has fabulous food and service is great. It reminded why its one of my favorite spots in the city including the views.,no majority,Positive,Positive,Positive,unknown,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
"I like the new place much better.
Liked sitting in the West dinning area.
I believe I will go back again.",no majority,unknown,Positive,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
Great ambiance. One of the highlights of our trip.,5,unknown,Positive,unknown,unknown,unknown,unknown,Positive,unknown,unknown,Positive,unknown,unknown,unknown
THe surrounding noise made our dinner a great time.,5,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
The food was very disappointing we just got dessert.,no majority,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Poor ambiance and service but the food was disappointing. The Kobe beef was overseasoned and the chicken dish was constructed from an impossible to identify, boney, fatty peice of the chicken.",1,Negative,Negative,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
It was certainly not what I expected. The food was mediocre at best. The waiters were very nice but I don't think I'll be returning anytime soon.,2,Negative,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Decent menu, relatively well executed, but fails to overcome the overwhelming sense that you are dining in a hotel lobby",3,Positive,Negative,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
If you want a more intimate or romantic dining experience request the front room - NOT the bar side of the restaurant. Almost like two restaurants with two completely dining experiences. It was far too loud.,3,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Had a good time, although service was slow even though it was raining",3,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown
Fish was overcooked twice... had trouble cutting with a steak knife. Waiter suggested ordering another meal and offered us a great discount. They should stick with pasta!,no majority,Negative,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
We had a lovely evening and it was a special evening shared with out of town guests who had a wonderful time.,5,unknown,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
I ordered a pizza and all of the mushrooms were on one side and the tomatoes were on another? I guess attention to detail is not a strong point of this restaurant.,no majority,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
I don't drop $450 for dinner for two very often. But it was worth it this time with the calm and noiseless ambiance.,5,no majority,unknown,unknown,Positive,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
My steak was incredible and my wife's scallops were even better! Great atmosphere just stay away from the scallops.,4,Positive,Positive,unknown,unknown,unknown,unknown,Positive,Positive,unknown,Positive,unknown,unknown,unknown
"The food was excellent..especially the shell-fish platters!
The no corkage fee for wines was a big plus for wine lovers!
The views, however, were unpleasant.....",no majority,Positive,Negative,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
"Excellent everything. What a beautiful, garden setting. The service was phenomenal.",5,Positive,Positive,Positive,unknown,Positive,unknown,Positive,unknown,unknown,Positive,unknown,unknown,unknown
"My steak was inedible. I had to send it back, and that's something I rarely ever do. The rest of the food was OK, but nothing spectacular.",2,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"The restaurant was adequate - but nothing to write home about!

Will definitely try other places in the North End before I go back to this restaurant as I loved the food but not the wait staff.",3,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
way too overpriced and not worth the money. nasty inside,1,unknown,Negative,unknown,unknown,Negative,Negative,unknown,unknown,unknown,Negative,unknown,unknown,unknown
Nothing stood out. Average experience but pricey. Went for a special occasion. Nothing special. Should have saved my $100.,3,Negative,no majority,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Our waiter did not seem in tune with our time needs to make a performance at the Kennedy Center. The food itself was bland when it did finally arrive.,no majority,Negative,unknown,Negative,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown
"Good place, solid as always. I am a return customer (I live a few blocks away). It was very good again. However, the specials were good but over-priced, and we were not told the price when ordering.",4,Positive,unknown,Negative,unknown,Positive,unknown,Positive,Positive,Positive,unknown,unknown,unknown,unknown
The food was good and the service was tremendous. The staff were nice from the get go and were there when I had questions.,5,Positive,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
The food was very good but the atmosphere was kind of dull. It was a relatively quiet night so I might have felt differently had it been busier.,3,Positive,Negative,unknown,no majority,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"The food and wine were excellent! This was a great find, and very close to the Natural History Museum!",5,Positive,unknown,unknown,unknown,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
